대상연도,사업소명,성과지표명,단위,영향인자
2015,006,건물용 에너지 사용량,TJ,"난방도일, 냉방도일"
2015,006,차량용 에너지 사용량,TJ,외기온도
2015,004,총에너지 사용량,TJ,"생산량, ORV송출능력, 난방도일"
2015,002,총 에너지 사용량,TJ,"생산량, ORV 송출능력,냉방도일,난방도일"
2015,002,설비용 에너지 사용량,TJ,"생산량, ORV 송출능력"
2015,002,건물용 에너지 사용량,TJ,"냉방도일,난방도일"
2015,002,차량용 에너지 사용량,TJ,영향인자 없음(이동평균으로 BAU예측)
2016,008,총에너지 사용량,TJ,"주배관 온도, 생산(판매)량, 외기온도, 냉난방도일"
2016,008,설비용 에너지 사용량,TJ,"주배관 온도, 생산(판매)량, 외기온도"
2016,008,건물용 에너지 사용량,TJ,냉난방도일
2016,008,차량용 에너지 사용량,TJ,외기온도
2017,006,총에너지 사용량,TJ,"주배관온도, 생산량, 냉방도일, 난방도일, 외기온도"
2017,006,설비용 에너지 사용량,TJ,"주배관온도, 생산량"
2017,006,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2017,006,차량용 에너지 사용량,TJ,외기온도
2017,002,총 에너지사용량,TJ,"생산량, ORV 송출능력, 냉방도일, 난방도일,외기온도"
2017,004,설비용 생산량 대비 에너지사용량,TJ/천톤,"생산량, 외기온도, 난방도일"
2017,004,건물용 에너지사용량,TJ,난방도일
2017,004,차량용 에너지사용량,TJ,평균사용량
2017,002,설비용 에너지사용량,TJ,"생산량, ORV 송출능력"
2017,002,건물용 에너지사용량,TJ,"냉방도일, 난방도일"
2017,002,차량용 에너지사용량,TJ,외기온도
2018,006,총 에너지 사용량,TJ,"주배관온도, 생산량, 냉방도일, 난방도일, 외기온도"
2018,006,설비용 에너지 사용량,TJ,"주배관온도, 생산량"
2018,006,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2018,006,차량용 에너지 사용량,TJ,외기온도
2019,017,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 난방도일, 냉방도일,난방도일, 주배관온도,외기온도"
2019,017,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도,외기온도"
2019,017,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2019,017,차량용 에너지 사용량,TJ,
2019,006,총 에너지 사용량,TJ,"주배관 온도, 생산량, 냉방도일, 난방도일, 외기온도"
2019,006,설비용 에너지 사용량,TJ,"주배관온도, 생산량"
2019,006,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2019,006,차량용 에너지 사용량,TJ,외기온도
2019,003,차량용 에너지사용량,TJ,
2020,017,총 에너지 사용량,TJ,"생산(판매)량, 외기온도, 냉방도일,난방도일, 주배관온도,"
2020,017,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도,외기온도"
2020,017,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2020,017,차량용 에너지 사용량,TJ,외기온도
2020,004,사업장 전체 EnPI,TJ/천톤,"생산량, 해수온도"
2020,004,설비용 EnPI,TJ/천톤,"생산량, 해수온도"
2020,004,건물용 EnPI,TJ,"냉방도일, 난방도일"
2020,004,차량용 EnPI,TJ,
2020,005,총 에너지사용량,TJ,"생산량, 외기온도, 주배관온도, 냉난방일수"
2020,005,설비용 에너지사용량,TJ,"생산량, 외기온도, 주배관온도"
2020,005,건물용 에너지사용량,TJ,"냉난방일수, 외기온도"
2020,005,차량용 에너지사용량,TJ,외기온도
2020,006,총 에너지 사용량,TJ,"주배관 온도, 생산량, 냉방도일, 난방도일, 외기온도"
2020,006,설비용 에너지 사용량,TJ,"주배관온도, 생산량"
2020,006,건물용 에너지 사용량,TJ,"냉방도일, 난방도일"
2020,006,차량용 에너지 사용량,TJ,외기온도
2021,011,총 에너지 사용량,TJ,"생산(판매)량,외기온도,낭방도일,냉방도일,주배관온도,외기온도"
2021,011,설비용 에너지 사용량,TJ,"생산(판매)량, 주배관온도, 외기온도"
2021,011,건물용 에너지 사용량,TJ,"외기온도, 난방도일, 냉방도일"
2021,011,차량용 에너지 사용량,TJ,배관이설 등 건설현장 공사건수
2021,011,에너지 원단위,TJ/천톤,"생산(판매)량,난방도일,냉방도일,외기온도"
2021,012,총 에너지 사용량,TJ,"생산(판매)량,외기온도,낭방도일,냉방도일,주배관온도,외기온도"
